date,open,close,high,low,volume,amount,name
2023-12-01,70.681,71.381,72.941,70.371,25020241.0,1785969822.821,海光信息
2023-12-04,71.391,72.191,73.981,71.391,26240379.0,1894319200.3890002,海光信息
2023-12-05,71.031,72.331,73.761,69.851,33405194.0,2416231087.214,海光信息
2023-12-06,72.331,75.071,75.261,71.881,42280489.0,3174038589.719,海光信息
2023-12-07,74.471,72.641,74.861,71.441,49264875.0,3578649784.8750005,海光信息
2023-12-08,73.471,79.821,81.481,73.381,98702387.0,7878523232.727,海光信息
2023-12-11,77.491,81.701,82.981,76.981,47701898.0,3897292768.4979997,海光信息
2023-12-12,80.611,80.151,83.091,79.181,32240035.0,2584071045.285,海光信息
2023-12-13,80.471,77.131,80.921,76.291,34239072.0,2640893862.432,海光信息
2023-12-14,77.611,75.081,78.021,74.561,24797721.0,1861837690.401,海光信息
2023-12-15,75.391,73.321,75.791,73.131,20783237.0,1523847720.077,海光信息
2023-12-18,72.821,74.711,75.861,72.811,21258909.0,1588274350.299,海光信息
2023-12-19,74.351,75.581,76.151,73.591,19224173.0,1452982219.513,海光信息
2023-12-20,75.551,74.001,75.981,73.781,16495809.0,1220706361.809,海光信息
2023-12-21,73.191,76.651,78.131,72.901,23381258.0,1792196806.958,海光信息
2023-12-22,76.281,74.791,77.081,73.811,19168535.0,1433633901.185,海光信息
2023-12-25,73.691,72.091,74.421,67.151,25457718.0,1835272348.3379998,海光信息
2023-12-26,72.331,70.481,72.611,69.841,17232935.0,1214594491.735,海光信息
2023-12-27,70.731,69.961,72.061,69.881,14875137.0,1040679459.657,海光信息
2023-12-28,69.531,69.791,71.411,69.291,20472985.0,1428830096.135,海光信息
2023-12-29,69.981,70.461,71.221,68.841,21903903.0,1543370909.283,海光信息
2024-01-02,70.251,71.841,72.871,69.611,18174808.0,1305696381.5279999,海光信息
2024-01-03,72.981,72.151,73.651,71.251,16533816.0,1192931358.2159998,海光信息
2024-01-04,71.231,74.381,74.631,68.781,20456381.0,1521566075.161,海光信息
2024-01-05,73.591,71.211,74.451,70.061,16721788.0,1190775245.268,海光信息
2024-01-08,70.471,67.891,71.021,67.871,15171222.0,1029989432.802,海光信息
2024-01-09,68.981,68.651,70.281,67.781,12767303.0,876488118.2529999,海光信息
2024-01-10,68.091,67.471,69.861,66.511,10789089.0,727950623.919,海光信息
2024-01-11,66.611,68.281,69.251,66.541,13706253.0,935876661.093,海光信息
2024-01-12,67.641,64.891,67.921,64.891,17356158.0,1126258448.778,海光信息
2024-01-15,64.281,65.481,66.931,64.091,13587406.0,889716932.2859999,海光信息
2024-01-16,64.841,65.701,65.911,63.911,12797230.0,840790808.2299999,海光信息
2024-01-17,66.081,65.251,67.031,65.041,12230774.0,798070234.274,海光信息
2024-01-18,64.481,69.371,69.441,64.341,24021961.0,1666427456.531,海光信息
2024-01-19,69.341,69.311,69.681,67.461,15707483.0,1088701354.213,海光信息
2024-01-22,70.011,69.871,71.171,67.761,20611013.0,1440112089.323,海光信息
2024-01-23,68.991,72.581,72.991,66.981,22012220.0,1597668939.8200002,海光信息
2024-01-24,71.591,72.381,73.071,69.361,18114819.0,1311168714.039,海光信息
2024-01-25,72.381,72.681,73.491,70.381,18030614.0,1310483056.134,海光信息
2024-01-26,71.991,70.111,72.641,69.841,14826765.0,1039519320.9150001,海光信息
2024-01-29,71.631,69.481,74.151,69.311,20844795.0,1448317201.395,海光信息
2024-01-30,68.141,64.831,68.411,64.481,19477153.0,1262723306.1430001,海光信息
2024-01-31,64.181,65.751,67.681,64.071,18219527.0,1197952119.7770002,海光信息
2024-02-01,64.981,68.381,70.611,64.481,19857914.0,1357904017.234,海光信息
2024-02-02,68.381,67.801,68.911,64.771,18855360.0,1278412263.3600001,海光信息
2024-02-05,68.001,69.181,70.511,65.091,22899831.0,1584233208.411,海光信息
2024-02-06,69.021,75.781,75.851,67.561,26086448.0,1976857115.8880002,海光信息
2024-02-07,76.081,75.231,76.541,74.181,21829986.0,1642291676.7659998,海光信息
2024-02-08,76.481,76.201,79.041,74.671,21863527.0,1666022620.9269998,海光信息
2024-02-19,80.081,85.481,87.801,78.501,35771166.0,3057755040.8459997,海光信息
2024-02-20,83.691,81.871,84.381,80.921,24696197.0,2021902344.587,海光信息
2024-02-21,79.701,79.241,81.241,77.901,24441360.0,1936757807.76,海光信息
2024-02-22,81.981,82.311,85.751,81.251,28739610.0,2365586038.71,海光信息
2024-02-23,85.721,80.881,86.431,80.181,26403504.0,2135541807.024,海光信息
2024-02-26,79.661,81.631,84.091,79.261,25612476.0,2090772028.356,海光信息
2024-02-27,80.781,87.481,88.101,80.211,37833674.0,3309727635.194,海光信息
2024-02-28,86.581,82.761,88.801,82.761,34808926.0,2880821524.686,海光信息
2024-02-29,81.981,84.601,86.461,81.981,33972253.0,2874086576.053,海光信息
2024-03-01,85.811,86.971,87.811,84.561,31746787.0,2761049812.177,海光信息
2024-03-04,88.581,85.761,89.241,83.331,33029482.0,2832641405.802,海光信息
2024-03-05,84.301,85.781,89.741,83.611,39605783.0,3397423671.5230002,海光信息
2024-03-06,84.481,83.901,85.291,82.461,27199788.0,2282089412.988,海光信息
2024-03-07,84.081,80.381,84.751,80.231,29708196.0,2387974502.676,海光信息
2024-03-08,80.891,81.781,82.071,79.251,28009751.0,2290665446.531,海光信息
2024-03-11,81.681,83.291,84.281,80.591,27453312.0,2286613809.792,海光信息
2024-03-12,82.481,79.481,82.981,79.051,29602349.0,2352824300.869,海光信息
2024-03-13,80.861,79.181,82.031,79.141,23502709.0,1860968001.329,海光信息
