date,open,close,high,low,volume,amount,name
2023-12-01,24.977,26.213,26.49,24.533,19191100.0,503056304.3,天孚通信
2023-12-04,26.439,27.313,28.33,26.329,22699200.0,619983249.6,天孚通信
2023-12-05,27.663,28.294,29.464,27.634,27850400.0,787999217.6,天孚通信
2023-12-06,28.152,28.45,28.742,27.681,14957600.0,425543720.0,天孚通信
2023-12-07,28.819,28.622,29.34,28.367,16938500.0,484813747.0,天孚通信
2023-12-08,28.862,34.037,34.693,28.851,37241100.0,1267575320.7,天孚通信
2023-12-11,33.618,36.242,36.523,33.257,26861200.0,973503610.4,天孚通信
2023-12-12,35.805,35.513,36.61,33.975,26076300.0,926047641.9,天孚通信
2023-12-13,35.805,34.835,36.107,34.675,15326100.0,533884693.5,天孚通信
2023-12-14,35.298,34.336,35.703,33.91,14823900.0,508993430.4,天孚通信
2023-12-15,34.281,33.563,35.141,33.068,12934900.0,434134048.70000005,天孚通信
2023-12-18,33.582,33.472,34.147,33.294,11595700.0,388131270.40000004,天孚通信
2023-12-19,33.571,33.345,33.884,32.747,10037000.0,334683765.0,天孚通信
2023-12-20,33.254,31.366,33.265,31.249,14073600.0,441432537.6,天孚通信
2023-12-21,31.45,32.452,33.378,30.983,15461200.0,501746862.4,天孚通信
2023-12-22,32.415,32.16,33.436,31.752,15016400.0,482927423.99999994,天孚通信
2023-12-25,32.488,32.16,32.634,30.703,11061300.0,355731407.99999994,天孚通信
2023-12-26,32.157,31.206,32.27,30.841,6696900.0,208983461.4,天孚通信
2023-12-27,31.442,30.921,31.628,30.728,8743200.0,270348487.2,天孚通信
2023-12-28,30.724,31.625,32.426,30.659,11651300.0,368472362.5,天孚通信
2023-12-29,31.249,31.621,33.071,31.18,15070100.0,476531632.09999996,天孚通信
2024-01-02,31.377,31.067,32.241,30.706,8343000.0,259191981.0,天孚通信
2024-01-03,30.732,30.397,31.104,29.89,10835000.0,329351495.0,天孚通信
2024-01-04,30.338,30.083,30.619,29.609,7915600.0,238124994.79999998,天孚通信
2024-01-05,30.047,28.972,30.192,28.706,8471900.0,245447886.8,天孚通信
2024-01-08,29.07,28.797,29.741,28.48,9225700.0,265672482.9,天孚通信
2024-01-09,29.792,29.423,30.262,29.063,12766600.0,375631671.79999995,天孚通信
2024-01-10,29.095,28.6,29.609,28.341,8575300.0,245253580.0,天孚通信
2024-01-11,28.589,29.613,30.284,28.552,11329000.0,335485677.0,天孚通信
2024-01-12,29.179,28.498,29.427,28.432,8563900.0,244054022.20000002,天孚通信
2024-01-15,28.17,28.808,29.263,27.831,7764100.0,223668192.8,天孚通信
2024-01-16,28.516,28.607,28.953,28.133,6603800.0,188914906.6,天孚通信
2024-01-17,29.077,29.125,30.262,28.95,15302800.0,445694050.0,天孚通信
2024-01-18,28.472,32.157,32.514,27.98,22280100.0,716461175.6999999,天孚通信
2024-01-19,32.616,31.65,32.845,31.541,14760100.0,467157165.0,天孚通信
2024-01-22,33.582,32.569,34.289,32.219,21553300.0,701969427.7,天孚通信
2024-01-23,32.889,33.983,35.076,32.722,18611300.0,632467807.9,天孚通信
2024-01-24,33.983,33.447,34.27,31.858,16490300.0,551551064.1,天孚通信
2024-01-25,33.21,34.34,35.021,32.973,15585600.0,535209504.00000006,天孚通信
2024-01-26,33.567,32.598,33.574,32.415,11447900.0,373178644.2,天孚通信
2024-01-29,32.131,29.125,32.16,27.255,16085500.0,468490187.5,天孚通信
2024-01-30,28.975,29.172,30.054,28.975,10323700.0,301162976.40000004,天孚通信
2024-01-31,28.698,29.562,30.703,28.09,13438600.0,397271893.2,天孚通信
